game_id,team_a,team_a_score,team_b,team_b_score
401845001,Canada,5,Germany,1
401845002,USA,2,Finland,3
401845003,Sweden,4,Switzerland,4
401845004,Czech Republic,3,Slovakia,2
401845005,Canada,2,USA,4
401845006,Finland,1,Sweden,2
401845013,Germany,1,Switzerland,3
401845014,Czech Republic,1,Finland,2
401845015,Slovakia,0,Canada,5
401845016,USA,6,Germany,1
401845017,Sweden,3,Slovakia,2
401845018,Switzerland,3,Czech Republic,1
401845007,Canada,4,Sweden,2
401845008,USA,5,Finland,3
401845019,Switzerland,4,Slovakia,2
401845020,Germany,2,Czech Republic,4
401845009,Canada,2,USA,3
401845010,Finland,3,Sweden,2
401845011,USA,4,Sweden,2
401845012,Canada,3,Finland,2
