game_id,team_a,team_a_score,team_b,team_b_score
401845001,Canada,1,Germany,2
401845002,USA,1,Sweden,2
401845003,Sweden,1,Switzerland,2
401845004,Finland,1,Slovakia,2
401845005,Canada,1,USA,2
401845006,Czechia,1,Latvia,2
401845007,Russia,1,Norway,2
401845008,Germany,1,Switzerland,2
401845009,Sweden,1,Finland,2
401845010,USA,1,Latvia,2
401845011,Czechia,1,Norway,2
401845012,Canada,1,Sweden,2
401845013,USA,1,Finland,2
401845014,Germany,1,Czechia,2
401845015,Switzerland,1,Latvia,2
401845016,Norway,1,Slovakia,2
401845017,Sweden,1,USA,2
401845018,Finland,1,Canada,2
401845019,Germany,1,Czechia,2
401845020,Slovakia,1,Switzerland,2
